disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
"Biogeography Cartography Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Political Ecology Remote Sensing Rural Geography Water Resources",https://www.k-state.edu/geography/academics/index.html,KS,Kansas State University,,Department of Geography and Geospatial Sciences,College of Arts and Sciences ,x,,,,x,x,,x,x,,,,,,
,https://geog.ku.edu/,KS,University of Kansas,,Department of Geography and Atmospheric Science,School of Liberal Arts and Sciences,x,,,,x,x,x,x,x,,,,,,
"Agricultural Geography Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://louisville.edu/geogeo/,KY,University of Louisville,,Department of Geography and Geosciences,College of Arts and Sciences,x,,,,x,,x,,,,,,,BS and MS Applied Geography,
Agricultural Geography Biogeography Cartography Climatology/Meteorology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Social Geography Urban Geography,https://geography.as.uky.edu/geography-research-clusters,KY,University of Kentucky,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,,x,x,,,,,,
Applied Geography Cartography Climatology/Meteorology Cultural Ecology Cultural Geography Economic Development Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certification Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources,https://www.lsu.edu/ga/index.php,LA,Louisiana State University,,Department of Geography and Anthropology,College of Humanities and Social Sciences,x,,,,x,x,x,,x,,,,,,
,https://www.umf.maine.edu/academics/programs/geography/,ME,University of Maine at Farmington,,Department of Geography and Environmental Planning,,x,,,,,x,,,,,,,,BA Geography and Environmental Planning,
,https://usm.maine.edu/geography-anthropology/geography-anthropology-programs-2021-2022-catalog,ME,University of Southern Maine,Geography Anthropology,Department of Geography-Anthropology,College of Management and Human Services,x,,,,,x,,,,,x,,,BA Geography-Anthropology,"Geography-Anthropology, Cultural and Natural Heritage Management Specialization, B.A.
Geography-Anthropology, Social Studies, Secondary Teacher Education Pathway, B.A.
Geography-Anthropology, Specialization in Applied Geographic Information Systems (GIS) and Geospatial Analysis Specialization, B.A.
Geography-Anthropology, Sustainable Cultures and Communities Specialization, B.A."
"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Distance/Online Degree Program Economic Geography Environmental Studies Geomorphology GIS Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.salisbury.edu/academic-offices/science-and-technology/geography-and-geosciences/,MD,Salisbury University,,Department of Geography and Geosciences,Henson School of Science and Technology,x,,,,x,,,,,,,,,,
Applied Geography Climatology/Meteorology Cultural Geography Economic Development Environmental Studies Gender Geomorphology GIS Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Recreation and Tourism Remote Sensing Urban Geography,https://www.towson.edu/cla/departments/geography/,MD,Towson University,,Department of Geography and Environmental Planning,College of Liberal Arts,x,,,,,,,,,,,,,,
"Agricultural Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Remote Sensing Social Geography Urban Geography Water Resources",https://ges.umbc.edu/,MD,"University of Maryland, Baltimore County ",,Department of Geography and Environmental Systems,"College of Arts, Humanities, and Social Sciences",x,,,,x,x,x, ,x,,x,x,x,BS Environmental Science and Geography; BA in Geography and Environmental Studies; MS and PhD Geography & Environmental Systems, 
